	Respondent	MainBranch	Hobbyist	Age	Age1stCode	CompFreq	CompTotal	ConvertedComp	Country	CurrencyDesc	CurrencySymbol	DatabaseDesireNextYear	DatabaseWorkedWith	DevType	EdLevel	Employment	Ethnicity	Gender	JobFactors	JobSat	JobSeek	LanguageDesireNextYear	LanguageWorkedWith	MiscTechDesireNextYear	MiscTechWorkedWith	NEWCollabToolsDesireNextYear	NEWCollabToolsWorkedWith	NEWDevOps	NEWDevOpsImpt	NEWEdImpt	NEWJobHunt	NEWJobHuntResearch	NEWLearn	NEWOffTopic	NEWOnboardGood	NEWOtherComms	NEWOvertime	NEWPurchaseResearch	NEWPurpleLink	NEWSOSites	NEWStuck	OpSys	OrgSize	PlatformDesireNextYear	PlatformWorkedWith	PurchaseWhat	Sexuality	SOAccount	SOComm	SOPartFreq	SOVisitFreq	SurveyEase	SurveyLength	Trans	UndergradMajor	WebframeDesireNextYear	WebframeWorkedWith	WelcomeChange	WorkWeekHrs	YearsCode	YearsCodePro
26446	26543	I am a developer by profession	Yes	27.0	12	Monthly	180000.0	18912.0	Nepal	Nepalese rupee	NPR	Cassandra;DynamoDB;Microsoft SQL Server;PostgreSQL;Redis	Microsoft SQL Server;PostgreSQL;Redis	Database administrator;Developer, back-end;Developer, full-stack;Educator;Engineer, site reliability;Engineering manager	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Office environment or company culture	Neither satisfied nor dissatisfied	I’m not actively looking, but I am open to new opportunities	Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript	Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL;TypeScript	Ansible;Node.js;Pandas;Teraform	Ansible;Node.js	Jira;Github;Slack;Google Suite (Docs, Meet, etc)	Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)	Yes	Extremely important	Very important	Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Trouble with my teammates;Trouble with leadership at my company;Better work/life balance;Growth or leadership opportunities;Looking to relocate	Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company	Every few months	Not sure	No	Yes	Often: 1-2 days per week or more		Indifferent	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers)	Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Visit another developer community (please name):	Linux-based	100 to 499 employees	AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;Microsoft Azure;Slack Apps and Integrations	AWS;Docker;Linux	I have some influence	Straight / Heterosexual	Yes	Yes, somewhat	A few times per month or weekly	A few times per month or weekly	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Express;Flask;Laravel;React.js	Express;React.js	Just as welcome now as I felt last year	50.0	15.0	9
26592	26691	I am a developer by profession	No	26.0	13	Monthly			Nepal	Nepalese rupee	NPR	MongoDB;MySQL;PostgreSQL;Redis	Firebase;MongoDB	Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;Office environment or company culture	Neither satisfied nor dissatisfied	I am not interested in new job opportunities	C++;HTML/CSS;JavaScript;Python	HTML/CSS;JavaScript	Node.js;React Native	Node.js;React Native		Jira;Github;Gitlab;Slack;Trello	Yes	Somewhat important	Fairly important	Wanting to work with new technologies	Personal network - friends or family	Once a year	Yes	Onboarding? What onboarding?	Yes	Sometimes: 1-2 days per month but less than weekly		Hello, old friend	Stack Overflow (public Q&A for anyone who codes)	Visit Stack Overflow;Go for a walk or other physical activity	Windows	20 to 99 employees	Android	Android	I have little or no influence	Straight / Heterosexual	Yes	Yes, definitely	A few times per week	Daily or almost daily	Neither easy nor difficult	Too long	No	Computer science, computer engineering, or software engineering	Express;React.js	Express;jQuery;React.js;Vue.js	Just as welcome now as I felt last year	40.0	3.0	3
26681	26780	I am a developer by profession	Yes	20.0	15				Nepal			Firebase;MongoDB	MongoDB		Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Student	South Asian	Man	How widely used or impactful my work output would be		I am actively looking for a job	Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;TypeScript	C;C++;HTML/CSS;JavaScript	Keras;Pandas;TensorFlow	Keras;Pandas;TensorFlow	Github	Github				Wanting to work with new technologies	Read company media, such as employee blogs or company culture videos;Read other media like news articles, founder profiles, etc. about the company	Every few months	Not sure		No		Ask developers I know/work with	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers)	Play games;Call a coworker or friend;Visit Stack Overflow	Linux-based		Android	Android			No	Yes, definitely		Daily or almost daily	Easy	Too long	No	Computer science, computer engineering, or software engineering	Express;React.js	Express;React.js	Just as welcome now as I felt last year		5.0	
26949	27048	I am a student who is learning to code	Yes	17.0	10				Nepal				Microsoft SQL Server;MySQL		Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	Student	South Asian	Man	Diversity of the company or organization;Flex time or a flexible schedule;Opportunities for professional development		I’m not actively looking, but I am open to new opportunities	C++;JavaScript;Python	HTML/CSS;JavaScript	Node.js									Every few months	Not sure		No		Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd	Amused	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later	Windows		Android;Linux;MacOS;Windows			Straight / Heterosexual	Yes	Neutral	I have never participated in Q&A on Stack Overflow	A few times per month or weekly	Neither easy nor difficult	Too long	No		Angular.js;jQuery	Angular.js	Not applicable - I did not use Stack Overflow last year		5.0	
26956	27055	I am a developer by profession	Yes	30.0	13				Nepal	Nepalese rupee	NPR	Cassandra;DynamoDB;Elasticsearch;MongoDB;PostgreSQL;Redis	DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis	Developer, back-end;Developer, full-stack;Engineer, site reliability	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Industry that I’d be working in;Office environment or company culture;Opportunities for professional development	Slightly satisfied	I’m not actively looking, but I am open to new opportunities		Go;HTML/CSS;JavaScript;Ruby;SQL;TypeScript	Ansible;Apache Spark;Chef;Hadoop;Node.js;Teraform	Node.js	Github;Trello;Google Suite (Docs, Meet, etc)	Confluence;Jira;Github;Google Suite (Docs, Meet, etc)	Yes	Somewhat important	Fairly important	Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Growth or leadership opportunities;Looking to relocate	Read company media, such as employee blogs or company culture videos;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company	Once a decade		Yes	Yes	Occasionally: 1-2 days per quarter but less than monthly	Start a free trial;Research companies that have emailed me	Indifferent	Stack Overflow (public Q&A for anyone who codes)	Call a coworker or friend;Visit Stack Overflow	MacOS	100 to 499 employees	Arduino;AWS;Docker;Kubernetes;MacOS	AWS;Docker;MacOS	I have some influence	Straight / Heterosexual	Yes	Neutral	I have never participated in Q&A on Stack Overflow	A few times per week	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	Express	Express;Ruby on Rails	Just as welcome now as I felt last year	40.0	11.0	7
27217	27318	I am a developer by profession	Yes	40.0	28	Yearly	130000.0	1138.0	Nepal	Nepalese rupee	NPR	Elasticsearch;MongoDB;Oracle;PostgreSQL;Redis	Microsoft SQL Server;MySQL	Developer, back-end;Developer, desktop or enterprise applications	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development	Very satisfied	I’m not actively looking, but I am open to new opportunities	Go;HTML/CSS;Java;JavaScript;Python;Scala;SQL;TypeScript	HTML/CSS;Java;JavaScript;SQL;TypeScript	Ansible;Apache Spark;Hadoop;Node.js	Node.js	Jira;Github;Gitlab	Jira;Github;Gitlab;Microsoft Teams	No	Somewhat important	Very important	Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company	Once a year	No	Yes	No	Sometimes: 1-2 days per month but less than weekly	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit	Amused	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers)	Visit Stack Overflow;Watch help / tutorial videos;Visit another developer community (please name):	MacOS	100 to 499 employees	AWS;Docker;Kubernetes;Linux;MacOS	MacOS;Windows	I have some influence	Straight / Heterosexual	Yes	Yes, definitely	Multiple times per day	Multiple times per day	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	React.js;Spring	Angular;jQuery;React.js;Spring	A lot more welcome now than last year	40.0	11.0	7
27297	27398	I am a student who is learning to code	Yes	19.0	15				Nepal			MySQL	MySQL		Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	Student	South Asian	Man	Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture		I am not interested in new job opportunities	C;C#;C++;Dart;HTML/CSS;JavaScript;PHP;Python;R;Ruby;SQL	C;HTML/CSS;Python	Flutter;Keras;Node.js;Pandas;TensorFlow		Github							Every few months	No		No		Ask developers I know/work with;Visit developer communities like Stack Overflow	Annoyed	Stack Overflow (public Q&A for anyone who codes)	Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later	Linux-based		Linux	Android;Linux;Windows;WordPress		Straight / Heterosexual	Yes	Yes, definitely	A few times per week	Multiple times per day	Easy	Too long	No		Angular.js;Django;Flask;jQuery;Laravel;React.js;Ruby on Rails;Vue.js		Not applicable - I did not use Stack Overflow last year		4.0	
27311	27412	I am a developer by profession	Yes		13	Monthly			Nepal	Nepalese rupee	NPR	MySQL;PostgreSQL	MySQL	Developer, back-end;DevOps specialist;System administrator	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Office environment or company culture	Slightly satisfied	I’m not actively looking, but I am open to new opportunities	Ruby	Ruby			Github;Gitlab;Slack;Trello		No	Neutral	Not at all important/not necessary	Just because;Curious about other opportunities;Better compensation	Read company media, such as employee blogs or company culture videos;Read other media like news articles, founder profiles, etc. about the company	Once a year	No	Onboarding? What onboarding?	Yes	Occasionally: 1-2 days per quarter but less than monthly	Start a free trial;Visit developer communities like Stack Overflow	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow	Linux-based	10 to 19 employees	Linux;Slack Apps and Integrations	Linux	I have a great deal of influence	Straight / Heterosexual	Yes	Yes, somewhat	A few times per month or weekly	Multiple times per day	Neither easy nor difficult	Too long		Computer science, computer engineering, or software engineering	React.js;Ruby on Rails	Ruby on Rails	Just as welcome now as I felt last year	40.0	3.0	1
27471	27573	I am a developer by profession	Yes		7				Nepal	United States dollar	USD	PostgreSQL;Redis	PostgreSQL	Developer, back-end;Developer, front-end;Educator	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Independent contractor, freelancer, or self-employed		Man	Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;How widely used or impactful my work output would be	Neither satisfied nor dissatisfied	I’m not actively looking, but I am open to new opportunities	HTML/CSS;JavaScript;Python;SQL	Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL	Node.js;Pandas	Node.js;Teraform	Github;Gitlab	Github;Gitlab	No	Neutral	Somewhat important	Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Read other media like news articles, founder profiles, etc. about the company	Once every few years	Not sure	Yes	Yes	Sometimes: 1-2 days per month but less than weekly	Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later	Linux-based	2 to 9 employees	Linux;Raspberry Pi	Docker;Linux;Raspberry Pi			Yes	Yes, somewhat	A few times per week	Daily or almost daily	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	Flask	Flask;jQuery	A lot more welcome now than last year	100.0	20.0	7
27690	27793	I am a student who is learning to code	Yes	21.0	18				Nepal			MongoDB;SQLite	Firebase;MySQL;Oracle	Developer, back-end;Developer, full-stack;Developer, mobile	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Independent contractor, freelancer, or self-employed	South Asian	Man	Industry that I’d be working in;Remote work options;Financial performance or funding status of the company or organization		I’m not actively looking, but I am open to new opportunities	Kotlin;Python;Swift	C#;Dart;HTML/CSS;Java;PHP;Python	Node.js;Unity 3D	.NET;Flutter	Confluence;Stack Overflow for Teams	Jira;Github;Gitlab;Slack;Trello						Every few months	No		No		Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow	Windows		iOS	Android;Windows		Straight / Heterosexual	Yes	Yes, definitely	I have never participated in Q&A on Stack Overflow	Multiple times per day	Easy	Too long	No	Information systems, information technology, or system administration	Django	ASP.NET;Laravel	A lot more welcome now than last year		3.0	
27773	27877	I am a developer by profession	Yes	24.0	16	Monthly			Nepal	Nepalese rupee	NPR	Elasticsearch;PostgreSQL	MySQL;PostgreSQL;SQLite	Academic researcher;Data scientist or machine learning specialist;Developer, desktop or enterprise applications;Educator	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	Middle Eastern	Man	Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Opportunities for professional development	Slightly satisfied	I’m not actively looking, but I am open to new opportunities	Python;R	Python;R	Apache Spark;Keras;Pandas;TensorFlow;Torch/PyTorch	Apache Spark;Hadoop;Keras;Pandas;TensorFlow	Github	Github	Yes	Extremely important	Fairly important	Wanting to share accomplishments with a wider network;Curious about other opportunities;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company	Once a year	Yes	Yes	Yes	Sometimes: 1-2 days per month but less than weekly		Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Meditate;Call a coworker or friend;Visit Stack Overflow	MacOS	100 to 499 employees	AWS;Heroku;Linux;MacOS;Slack Apps and Integrations;Windows	AWS;Heroku;Linux;MacOS;Slack Apps and Integrations;Windows;WordPress	I have little or no influence	Straight / Heterosexual	Yes	Yes, definitely	A few times per month or weekly	Daily or almost daily	Neither easy nor difficult	Too long	No	Computer science, computer engineering, or software engineering	Django	Django;Laravel	A lot less welcome now than last year	8.0	6.0	2
28347	28453	I am a student who is learning to code	Yes	21.0	17				Nepal			MySQL;SQLite	MariaDB;MySQL;SQLite		Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Student	South Asian	Man	Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization		I am not interested in new job opportunities	Java;Python	Assembly;C;HTML/CSS;Java;PHP;Python			Facebook Workplace	Github;Gitlab						Every few months	No		No		Start a free trial		Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers)	Visit Stack Overflow	Windows			WordPress		Straight / Heterosexual	Yes	Yes, somewhat	Less than once per month or monthly	Daily or almost daily	Easy	Appropriate in length		Computer science, computer engineering, or software engineering	Angular;Angular.js;Django;React.js;Spring		Just as welcome now as I felt last year		5.0	
28479	28585	I code primarily as a hobby	Yes	47.0	16				Nepal			Elasticsearch;PostgreSQL;SQLite	IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle	Academic researcher;Data or business analyst;Database administrator;Developer, mobile;Developer, QA or test;Product manager;Senior executive/VP;System administrator	Other doctoral degree (Ph.D., Ed.D., etc.)	Independent contractor, freelancer, or self-employed	South Asian	Man				Go;JavaScript;R;Swift	C;C#;C++;HTML/CSS;Java;Objective-C;SQL	Cordova;Hadoop;Xamarin	.NET;.NET Core;Apache Spark;Cordova	Gitlab;Microsoft Teams;Trello;Stack Overflow for Teams	Gitlab;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)			Critically important			Once a year	No		Yes		Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Talent (for hiring companies/recruiters);Stack Overflow Advertising (for technology companies)	Meditate;Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later	MacOS		AWS;Raspberry Pi	Android;Docker;Google Cloud Platform;MacOS;Microsoft Azure;Windows;WordPress			Yes	Yes, definitely	Less than once per month or monthly	A few times per week	Easy	Appropriate in length		Information systems, information technology, or system administration	jQuery;Spring;Vue.js	ASP.NET;Drupal;Spring	Not applicable - I did not use Stack Overflow last year		30.0	
28572	28679	I am a student who is learning to code	Yes	22.0	12				Nepal			MongoDB;MySQL	MongoDB;MySQL		Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Student	South Asian	Man	How widely used or impactful my work output would be;Opportunities for professional development;Family friendliness		I’m not actively looking, but I am open to new opportunities	C++;JavaScript;PHP;Python;Swift	Assembly;C;C++;HTML/CSS;JavaScript;PHP;Python;SQL	Node.js;Unity 3D;Unreal Engine	Node.js;Pandas	Github;Gitlab;Facebook Workplace;Slack	Github						Every few months	No		No		Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd	Hello, old friend	Stack Overflow (public Q&A for anyone who codes)	Meditate;Play games;Visit Stack Overflow;Go for a walk or other physical activity	Windows		Arduino;Linux;Windows	Arduino;Heroku;Linux;Windows;WordPress		Straight / Heterosexual	Not sure/can't remember	Not sure		A few times per month or weekly	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	Django;Laravel	Django	Just as welcome now as I felt last year		5.0	
28784	28891	I am a student who is learning to code	No	21.0	17				Nepal			MariaDB;MySQL	MariaDB;MySQL	Designer;Developer, front-end;Educator	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Independent contractor, freelancer, or self-employed	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Office environment or company culture		I’m not actively looking, but I am open to new opportunities	HTML/CSS;JavaScript;PHP;Python;SQL	C;C++;HTML/CSS;PHP;SQL			Github;Stack Overflow for Teams								Not sure		No		Ask developers I know/work with;Visit developer communities like Stack Overflow	Amused	Stack Overflow (public Q&A for anyone who codes)	Play games;Visit Stack Overflow;Do other work and come back later	Windows		Android;Windows	Windows		Straight / Heterosexual	Yes	Yes, somewhat	A few times per month or weekly	Multiple times per day	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	Laravel		Just as welcome now as I felt last year		4.0	
28785	28892	I am a student who is learning to code	Yes	21.0	12				Nepal			MongoDB;MySQL	MySQL		Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Student	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Remote work options		I’m not actively looking, but I am open to new opportunities	HTML/CSS;Java;JavaScript;PHP;Python	C;C#;C++;HTML/CSS;Java;JavaScript;PHP	Flutter;Node.js;React Native	.NET	Github;Google Suite (Docs, Meet, etc)	Github;Google Suite (Docs, Meet, etc)						Every few months	Yes		Yes		Start a free trial;Read ratings or reviews on third party sites like G2Crowd	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Visit Stack Overflow;Watch help / tutorial videos	Windows		Android;Arduino;iOS;Linux;Windows	Linux;Windows			Yes	Yes, definitely	A few times per month or weekly	Multiple times per day	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Angular;Django;jQuery;Laravel;React.js	ASP.NET;jQuery;Laravel			3.0	
30156	30273	I am a developer by profession	Yes		12	Monthly	32000.0	3360.0	Nepal	Nepalese rupee	NPR		Microsoft SQL Server;Oracle	Developer, full-stack	Some college/university study without earning a degree	Employed full-time	South Asian	Man	Industry that I’d be working in;Opportunities for professional development;Family friendliness	Neither satisfied nor dissatisfied	I’m not actively looking, but I am open to new opportunities	JavaScript;Rust	C#;HTML/CSS;JavaScript;SQL		.NET;.NET Core		Trello	No	Somewhat important	Not at all important/not necessary	Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family	Every few months	Not sure	No	No	Often: 1-2 days per week or more	Ask developers I know/work with;Visit developer communities like Stack Overflow	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later	Linux-based	20 to 99 employees	Linux	Linux;Windows	I have some influence	Straight / Heterosexual	Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	Less than once per month or monthly	Neither easy nor difficult	Appropriate in length	No	Another engineering discipline (such as civil, electrical, mechanical, etc.)	React.js	ASP.NET;ASP.NET Core	Just as welcome now as I felt last year	42.0	13.0	3
30285	30402	I am a student who is learning to code	Yes		19				Nepal				MongoDB		Some college/university study without earning a degree	Student	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development		I am actively looking for a job		C;HTML/CSS;JavaScript;TypeScript	Apache Spark;Hadoop;Node.js;React Native	Node.js	Jira;Github;Stack Overflow for Teams	Github;Gitlab;Stack Overflow for Teams						Once every few years	Yes		Yes		Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow	Hello, old friend	Stack Overflow (public Q&A for anyone who codes)	Call a coworker or friend;Visit Stack Overflow	Linux-based		AWS;Docker;Linux	Linux			Yes	Yes, definitely	I have never participated in Q&A on Stack Overflow	Daily or almost daily	Easy	Appropriate in length	No	Web development or web design	Django;Express;Flask;jQuery;Laravel;React.js;Ruby on Rails;Vue.js	Angular.js;Express	Somewhat more welcome now than last year		5.0	
30321	30438	I am a developer by profession	No	26.0	15	Yearly	1000000.0	8755.0	Nepal	Nepalese rupee	NPR	MongoDB;PostgreSQL;Redis	MongoDB;PostgreSQL;Redis	Developer, back-end;Developer, front-end;Developer, full-stack;Educator	Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	Employed full-time	South Asian	Man	Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development	Neither satisfied nor dissatisfied	I’m not actively looking, but I am open to new opportunities	Go;JavaScript	Go;HTML/CSS;JavaScript;Ruby	Node.js;Teraform	Node.js;Teraform	Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)	Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)	Yes	Extremely important	Fairly important	Curious about other opportunities;Better compensation;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company	Once a year	Not sure	No	No	Sometimes: 1-2 days per month but less than weekly	Start a free trial	Amused	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos	Linux-based	100 to 499 employees	AWS;Docker;Kubernetes;Linux	AWS;Docker;Kubernetes;Linux	I have some influence	Straight / Heterosexual	Yes	Neutral	Less than once per month or monthly	Daily or almost daily	Neither easy nor difficult	Too long	No	Computer science, computer engineering, or software engineering	Express;React.js	Express;React.js;Ruby on Rails	Just as welcome now as I felt last year	40.0	12.0	4
30892	31009	I am a developer by profession	Yes	24.0	16				Nepal	Nepalese rupee	NPR	Cassandra;Elasticsearch;MongoDB;MySQL	Elasticsearch;Firebase;MongoDB;MySQL;SQLite	Developer, back-end;Developer, front-end;Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Office environment or company culture;Opportunities for professional development;Family friendliness	Very satisfied	I am not interested in new job opportunities	Dart;Go;HTML/CSS;JavaScript;Ruby;SQL;TypeScript	C;C++;HTML/CSS;Java;JavaScript;Python;SQL	Flutter;Node.js	Keras;Node.js;Pandas;TensorFlow	Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)	Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)	Yes	Extremely important	Somewhat important	Wanting to share accomplishments with a wider network;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company	Every few months	Yes	Yes	Yes	Occasionally: 1-2 days per quarter but less than monthly		Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):	Linux-based	100 to 499 employees	Linux;MacOS	Linux;Windows;WordPress	I have little or no influence	Straight / Heterosexual	Yes	Yes, definitely	Less than once per month or monthly	Multiple times per day	Easy	Too short	No	Computer science, computer engineering, or software engineering	Angular;Express;Ruby on Rails	Express;React.js;Spring	Just as welcome now as I felt last year	45.0	5.0	Less than 1 year
